Date,Open,High,Low,Close,Adj Close,Volume
2018-05-21,143.211502,144.850449,142.828110,144.237030,128.132599,2553500
2018-05-22,144.840866,146.125183,144.246628,144.601242,128.456177,3493247
2018-05-23,143.767395,145.118805,143.585297,145.032547,128.839325,2952060
2018-05-24,145.137985,145.990997,143.575699,144.802521,128.634995,2753615
2018-05-25,144.543747,145.233826,143.575699,144.399979,128.277374,2018260
2018-05-29,143.374435,143.939911,141.352097,142.042191,126.182838,2450834
2018-05-30,142.588501,144.505402,142.588501,144.189117,128.090042,2286819
2018-05-31,144.505402,144.505402,141.620468,141.764236,125.935936,5256199
2018-06-01,142.665176,144.074097,142.598083,143.853653,127.792053,1808651
2018-06-04,143.767395,144.256210,143.010223,143.901581,127.834625,2187283
2018-06-05,144.217865,144.390381,143.364853,143.642792,127.604713,1761491
2018-06-06,143.863235,144.725845,142.540588,144.725845,128.566818,2716993
2018-06-07,144.764175,146.077255,144.725845,145.770554,129.494904,2070010
2018-06-08,145.473434,146.058090,145.377594,145.550110,129.299057,2025772
2018-06-11,145.607620,146.106018,145.214661,145.559692,129.307587,1799469
2018-06-12,145.626785,146.153931,145.262573,145.933487,129.639694,2344829
2018-06-13,145.626785,146.163513,145.090057,145.521362,129.273560,2019095
2018-06-14,146.019745,146.153931,144.054932,144.917542,128.737137,2641872
2018-06-15,144.208282,144.208282,142.598083,143.987839,127.911247,4095365
2018-06-18,142.847290,143.872818,142.377640,143.719467,127.672836,1650896
2018-06-19,142.281799,142.751434,140.815369,141.160416,125.399536,2703847
2018-06-20,141.074158,141.649216,140.125290,140.451157,124.769447,2019095
2018-06-21,139.904846,140.106125,137.614151,137.987946,122.581261,3339352
2018-06-22,139.358536,139.358536,137.901688,138.016693,122.606796,3013201
2018-06-25,137.460800,138.553436,136.051880,138.055038,122.640862,3729879
2018-06-26,138.495926,139.109329,137.930435,138.026291,122.615303,3319320
2018-06-27,139.176422,139.751495,137.173264,137.192429,121.874573,3246077
2018-06-28,137.872940,138.064621,136.416092,137.182846,121.866051,2981691
2018-06-29,137.384125,139.607727,137.240356,138.064621,122.649376,2951225
2018-07-02,137.403290,138.936813,137.067841,138.793045,123.296486,2351194
2018-07-03,139.061417,140.527832,138.678024,138.917648,123.407166,1301164
2018-07-05,139.847336,140.029449,138.275482,138.898468,123.390129,2065837
2018-07-06,138.524673,140.269058,138.419250,139.665237,124.071259,1972353
2018-07-09,139.895264,141.869659,139.693985,141.294601,125.518707,2083574
2018-07-10,141.639633,142.070938,141.265839,141.888840,126.046616,1800095
2018-07-11,140.844131,140.844131,138.400085,138.515091,123.049553,2428193
2018-07-12,139.876099,141.869659,139.339355,141.745071,125.918884,3249728
2018-07-13,141.697144,142.368057,140.959137,141.371277,125.586838,2678806
2018-07-16,141.352097,141.495865,139.952774,140.316971,124.650276,1855393
2018-07-17,140.307388,142.483078,139.751495,142.320129,126.429741,2605041
2018-07-18,142.473495,143.297760,142.224289,142.952713,126.991676,3175755
2018-07-19,141.764236,142.789780,141.179581,141.409607,125.620880,3156661
2018-07-20,142.991058,147.591614,142.923965,146.767349,130.380463,6728786
2018-07-23,146.757751,147.399918,144.850449,147.313660,130.865707,4559031
2018-07-24,147.620361,149.412659,146.824844,148.712997,132.108841,3982892
2018-07-25,147.131546,151.645844,147.131546,151.454163,134.543976,4111120
2018-07-26,151.645844,153.073944,151.530838,152.508453,135.480530,4997030
2018-07-27,152.633057,153.083527,151.780029,152.719315,135.667862,2961450
2018-07-30,152.585129,153.064362,150.131500,150.399872,133.607391,3254737
2018-07-31,150.994110,153.208115,150.994110,153.016434,135.931778,2841882
2018-08-01,153.275208,153.342300,149.958984,150.371109,133.581818,3521000
2018-08-02,149.211395,149.748123,148.396713,149.422241,132.738861,2232773
2018-08-03,149.268890,149.681030,147.821640,148.597977,132.006668,3093956
2018-08-06,148.348785,148.751328,147.409500,148.530884,131.947037,3205803
2018-08-07,148.904678,149.978149,148.482971,149.863129,133.130569,1699516
2018-08-08,149.824799,149.958984,148.636322,148.751328,132.142868,1770881
2018-08-09,148.415878,148.952606,147.198639,147.562851,131.087082,2612762
2018-08-10,147.045288,147.246567,146.192276,146.729004,130.346390,1609266
2018-08-13,146.844025,147.121964,145.492599,146.019745,129.716263,2123743
2018-08-14,146.355209,148.444626,146.086838,147.725784,131.231857,2697065
2018-08-15,146.594818,147.121964,144.927124,146.815262,130.422958,2367887
2018-08-16,146.844025,148.080414,146.700256,147.697037,131.847595,2191665
2018-08-17,147.639526,149.000534,147.121964,148.722580,132.763046,2120091
2018-08-20,148.904678,149.345566,148.387115,149.010117,133.019714,2233504
2018-08-21,149.479752,150.802414,149.470169,150.457367,134.311661,2573219
2018-08-22,150.265686,150.265686,148.463791,149.642685,133.584396,2126664
2018-08-23,151.300812,152.240082,150.486130,151.348724,135.107376,3644533
2018-08-24,151.233719,151.875870,150.581970,150.965347,134.765106,2587722
2018-08-27,151.377487,152.939758,151.377487,152.728897,136.339478,1936044
2018-08-28,153.361465,153.649002,152.565964,153.447739,136.981140,3136212
2018-08-29,153.505234,154.310333,153.198532,153.639420,137.152237,2256562
2018-08-30,153.256042,153.687347,152.403030,152.824738,136.424988,1587877
2018-08-31,152.316757,152.891830,151.885468,152.450943,136.091324,2514270
2018-09-04,152.460526,153.045181,151.636261,153.006851,136.587570,2437270
2018-09-05,153.112274,155.374222,153.064362,155.067520,138.427078,3343004
2018-09-06,155.709671,157.875763,155.709671,157.195267,140.326508,4265119
2018-09-07,156.581863,157.271942,155.498810,156.045135,139.299820,2886955
2018-09-10,156.792725,157.425293,156.342255,156.581863,139.778961,2426941
2018-09-11,156.188904,156.792725,155.355042,156.284744,139.513702,2657105
2018-09-12,155.901367,157.770340,155.843857,157.080261,140.223862,2346603
